txn_id,user_id,merchant,amount,city,timestamp,status
TXN000000000001,U134415,PaytmMall,1280.61,Nagpur,2025-05-22 20:19:38,SUCCESS
TXN000000000002,U061303,AppleStore,353.39,Hyderabad,2025-04-06 19:35:55,SUCCESS
TXN000000000003,U168692,Flipkart,431.21,Kolkata,2025-06-12 07:11:12,SUCCESS
TXN000000000004,U158569,Netflix,2746.93,Jaipur,2025-09-24 14:59:12,SUCCESS
TXN000000000005,U015405,Ola,2436.33,Kolkata,2025-11-07 04:17:09,SUCCESS
TXN000000000006,U086977,Netflix,1439.75,Bhopal,2025-11-26 03:53:34,SUCCESS
TXN000000000007,U115552,Hotstar,2062.42,Mumbai,2025-12-17 19:25:24,SUCCESS
TXN000000000008,U150744,Flipkart,1946.92,Patna,2025-02-22 04:00:31,SUCCESS
TXN000000000009,U048336,Flipkart,719.49,Chandigarh,2025-11-05 04:04:42,SUCCESS
TXN000000000010,U153467,Netflix,1499.78,Mumbai,2025-01-28 20:24:17,SUCCESS
TXN000000000011,U125591,Myntra,848.86,Kolkata,2025-04-25 01:16:54,FAILED
TXN000000000012,U165601,Hotstar,3184.43,Nagpur,2025-07-19 03:17:51,SUCCESS
TXN000000000013,U083096,Netflix,32.69,Pune,2025-09-10 05:28:31,SUCCESS
TXN000000000014,U194843,Ola,891.55,Ahmedabad,2025-07-06 06:39:28,SUCCESS
TXN000000000015,U171416,RelianceDigital,252.76,Hyderabad,2025-05-09 05:23:46,SUCCESS
TXN000000000016,U178123,AppleStore,3532.29,Pune,2025-02-08 01:38:50,SUCCESS
TXN000000000017,U138952,Myntra,2808.29,Delhi,2025-08-14 06:09:02,SUCCESS
TXN000000000018,U183923,Myntra,2463.6,Pune,2025-05-07 04:10:52,SUCCESS
TXN000000000019,U036089,IRCTC,4434.06,Surat,2025-05-19 22:19:45,SUCCESS
TXN000000000020,U193190,Hotstar,1846.69,Patna,2025-10-25 17:17:02,SUCCESS
TXN000000000021,U047751,Amazon,4635.21,Chennai,2025-03-28 13:25:33,FAILED
TXN000000000022,U073178,PaytmMall,267664.66,Pune,2025-03-22 00:04:38,SUCCESS
TXN000000000023,U069224,IRCTC,2019.6,Hyderabad,2025-02-25 23:33:52,SUCCESS
TXN000000000024,U146546,Netflix,3403.4,Patna,2025-03-28 01:39:53,SUCCESS
TXN000000000025,U172831,IRCTC,2666.57,Indore,2025-01-12 00:29:14,SUCCESS
TXN000000000026,U153097,AppleStore,4454.41,Jaipur,2025-06-19 00:56:56,SUCCESS
TXN000000000027,U115557,Hotstar,1542.5,Kolkata,2025-01-28 02:44:10,FAILED
TXN000000000028,U023076,Netflix,997.86,Chandigarh,2025-11-02 06:07:48,SUCCESS
TXN000000000029,U137702,PaytmMall,2758.57,Jaipur,2025-04-25 22:43:11,SUCCESS
